departamento_id,nombre
1,"Ciudad de Buenos Aires"
2,"Ciudad de Buenos Aires"
3,"Ciudad de Buenos Aires"
4,"Ciudad de Buenos Aires"
5,"Ciudad de Buenos Aires"
6,"Ciudad de Buenos Aires"
7,"Ciudad de Buenos Aires"
8,"Ciudad de Buenos Aires"
9,"Ciudad de Buenos Aires"
10,"Ciudad de Buenos Aires"
11,"Ciudad de Buenos Aires"
12,"Ciudad de Buenos Aires"
13,"Ciudad de Buenos Aires"
14,"Ciudad de Buenos Aires"
15,"Ciudad de Buenos Aires"
16,Carhué
16,"Colonia San Miguel Arcángel"
16,"Delfín Huergo"
16,Espartillar
16,"Esteban Agustín Gascón"
16,"La Pala"
16,Maza
16,Rivera
16,Thames
16,"Villa Margarita"
16,Yutuyaco
17,"Adolfo Gonzales Chaves (Est. Chaves)"
17,"De La Garma"
17,"Juan E. Barra"
17,Vásquez
18,"Alberti (Est. Andrés Vaccarezza)"
18,"Coronel Seguí"
18,Mechita
18,Pla
18,"Villa Grisolía (Est. Achupallas)"
18,"Villa María"
18,"Villa Ortiz (Est. Coronel Mom)"
19,"Almirante Brown"
20,Avellaneda
21,Ayacucho
21,"La Constancia"
21,Solanet
21,Udaquiola
22,"16 de Julio"
22,Ariel
22,Azul
22,Cacharí
22,Chillar
23,"Bahía Blanca"
23,Cabildo
23,"General Daniel Cerri (Est. General Cerri)"
24,Balcarce
24,"Los Pinos"
24,Napaleofú
24,"Ramos Otero"
24,"San Agustín"
24,"Villa Laguna La Brava"
25,Baradero
25,"Irineo Portela"
25,"Santa Coloma"
25,"Villa Alsina (Est. Alsina)"
26,Arrecifes
26,Todd
26,Viña
27,Barker
27,"Benito Juárez (Est. Juárez)"
27,López
27,"Tedín Uriburu"
27,"Villa Cacique (Est. Alfredo Fortabat)"
28,Berazategui
29,Berisso
30,Hale
30,"Juan F. Ibarra"
30,"Mariano Unzué"
30,Paula
30,Pirovano
30,"San Carlos de Bolívar (Est. Bolívar)"
30,Urdampilleta
30,"Villa Lynch Pueyrredón"
31,Bragado
31,"Comodoro Py"
31,"General O'Brien"
31,Irala
31,"La Limpia"
31,"Máximo Fernández (Est. Juan F. Salaberry)"
31,"Mechita (Est. Mecha)"
31,Olascoaga
31,Warnes
32,Altamirano
32,"Barrio Las Golondrinas"
32,"Barrio Los Bosquecitos"
32,"Barrio Parque Las Acacias"
32,"Coronel Brandsen"
32,Gómez
32,Jeppener
32,Oliden
32,Samborombón
33,"Alto Los Cardales"
33,"Barrio Los Pioneros"
33,Campana
